"ID","Label","Level","Implement"
"_R.4_BrLeft_2_BrRight_._BrLeft_t_BrRight__Star_._BrLeft_r_BrRight__BrLeft_14_BrRight_.Definition","R.4[2].[t]*.[r][14].Definition A module inside the ER...","5","TRUE"
"_R.4_BrLeft_2_BrRight_._BrLeft_t_BrRight__Star_._BrLeft_r_BrRight__BrLeft_15_BrRight_","R.4[2].[t]*.[r][15]","4","FALSE"
"_R.4_BrLeft_2_BrRight_._BrLeft_t_BrRight__Star_._BrLeft_r_BrRight__BrLeft_15_BrRight_.Term","R.4[2].[t]*.[r][15].Term BASELINE","5","TRUE"
"_R.4_BrLeft_2_BrRight_._BrLeft_t_BrRight__Star_._BrLeft_r_BrRight__BrLeft_15_BrRight_.Definition","R.4[2].[t]*.[r][15].Definition A baseline is defined ...","5","TRUE"
"_R.4_BrLeft_2_BrRight_._BrLeft_t_BrRight__Star_._BrLeft_r_BrRight__BrLeft_16_BrRight_","R.4[2].[t]*.[r][16]","4","FALSE"
"_R.4_BrLeft_2_BrRight_._BrLeft_t_BrRight__Star_._BrLeft_r_BrRight__BrLeft_16_BrRight_.Term","R.4[2].[t]*.[r][16].Term BASELINE RELEASE","5","TRUE"
"_R.4_BrLeft_2_BrRight_._BrLeft_t_BrRight__Star_._BrLeft_r_BrRight__BrLeft_16_BrRight_.Definition","R.4[2].[t]*.[r][16].Definition A baseline release is ...","5","TRUE"
"_R.4_BrLeft_2_BrRight_._BrLeft_t_BrRight__Star_._BrLeft_r_BrRight__BrLeft_17_BrRight_","R.4[2].[t]*.[r][17]","4","FALSE"
"_R.4_BrLeft_2_BrRight_._BrLeft_t_BrRight__Star_._BrLeft_r_BrRight__BrLeft_17_BrRight_.Term","R.4[2].[t]*.[r][17].Term BLOCK","5","TRUE"
"_R.4_BrLeft_2_BrRight_._BrLeft_t_BrRight__Star_._BrLeft_r_BrRight__BrLeft_17_BrRight_.Definition","R.4[2].[t]*.[r][17].Definition A method of controllin...","5","TRUE"
"_R.4_BrLeft_2_BrRight_._BrLeft_t_BrRight__Star_._BrLeft_r_BrRight__BrLeft_18_BrRight_","R.4[2].[t]*.[r][18]","4","FALSE"
"_R.4_BrLeft_2_BrRight_._BrLeft_t_BrRight__Star_._BrLeft_r_BrRight__BrLeft_18_BrRight_.Term","R.4[2].[t]*.[r][18].Term BRAKING CURVE","5","TRUE"
"_R.4_BrLeft_2_BrRight_._BrLeft_t_BrRight__Star_._BrLeft_r_BrRight__BrLeft_18_BrRight_.Definition","R.4[2].[t]*.[r][18].Definition Prediction of the trai...","5","TRUE"
"_R.4_BrLeft_2_BrRight_._BrLeft_t_BrRight__Star_._BrLeft_r_BrRight__BrLeft_19_BrRight_","R.4[2].[t]*.[r][19]","4","FALSE"
"_R.4_BrLeft_2_BrRight_._BrLeft_t_BrRight__Star_._BrLeft_r_BrRight__BrLeft_19_BrRight_.Term","R.4[2].[t]*.[r][19].Term BRAKING DISTANCE, EMER...","5","TRUE"
"_R.4_BrLeft_2_BrRight_._BrLeft_t_BrRight__Star_._BrLeft_r_BrRight__BrLeft_19_BrRight_.Definition","R.4[2].[t]*.[r][19].Definition The distance in which ...","5","TRUE"
"_R.4_BrLeft_2_BrRight_._BrLeft_t_BrRight__Star_._BrLeft_r_BrRight__BrLeft_20_BrRight_","R.4[2].[t]*.[r][20]","4","FALSE"
"_R.4_BrLeft_2_BrRight_._BrLeft_t_BrRight__Star_._BrLeft_r_BrRight__BrLeft_20_BrRight_.Term","R.4[2].[t]*.[r][20].Term BRAKING DISTANCE, SERVICE","5","TRUE"
"_R.4_BrLeft_2_BrRight_._BrLeft_t_BrRight__Star_._BrLeft_r_BrRight__BrLeft_20_BrRight_.Definition","R.4[2].[t]*.[r][20].Definition The distance in which ...","5","TRUE"
"_R.4_BrLeft_2_BrRight_._BrLeft_t_BrRight__Star_._BrLeft_r_BrRight__BrLeft_21_BrRight_","R.4[2].[t]*.[r][21]","4","FALSE"
"_R.4_BrLeft_2_BrRight_._BrLeft_t_BrRight__Star_._BrLeft_r_BrRight__BrLeft_21_BrRight_.Term","R.4[2].[t]*.[r][21].Term CAB","5","TRUE"
"_R.4_BrLeft_2_BrRight_._BrLeft_t_BrRight__Star_._BrLeft_r_BrRight__BrLeft_21_BrRight_.Definition","R.4[2].[t]*.[r][21].Definition The space in the power...","5","TRUE"
"_R.4_BrLeft_2_BrRight_._BrLeft_t_BrRight__Star_._BrLeft_r_BrRight__BrLeft_22_BrRight_","R.4[2].[t]*.[r][22]","4","FALSE"
"_R.4_BrLeft_2_BrRight_._BrLeft_t_BrRight__Star_._BrLeft_r_BrRight__BrLeft_22_BrRight_.Term","R.4[2].[t]*.[r][22].Term CAB, ACTIVE","5","TRUE"
"_R.4_BrLeft_2_BrRight_._BrLeft_t_BrRight__Star_._BrLeft_r_BrRight__BrLeft_22_BrRight_.Definition","R.4[2].[t]*.[r][22].Definition The active cab is the ...","5","TRUE"
"_R.4_BrLeft_2_BrRight_._BrLeft_t_BrRight__Star_._BrLeft_r_BrRight__BrLeft_23_BrRight_","R.4[2].[t]*.[r][23]","4","FALSE"
"_R.4_BrLeft_2_BrRight_._BrLeft_t_BrRight__Star_._BrLeft_r_BrRight__BrLeft_23_BrRight_.Term","R.4[2].[t]*.[r][23].Term CLEAR (A SIGNAL)","5","TRUE"
"_R.4_BrLeft_2_BrRight_._BrLeft_t_BrRight__Star_._BrLeft_r_BrRight__BrLeft_23_BrRight_.Definition","R.4[2].[t]*.[r][23].Definition To change a signal asp...","5","TRUE"
"_R.4_BrLeft_2_BrRight_._BrLeft_t_BrRight__Star_._BrLeft_r_BrRight__BrLeft_24_BrRight_","R.4[2].[t]*.[r][24]","4","FALSE"
"_R.4_BrLeft_2_BrRight_._BrLeft_t_BrRight__Star_._BrLeft_r_BrRight__BrLeft_24_BrRight_.Term","R.4[2].[t]*.[r][24].Term COMMON-MODE FAULT","5","TRUE"
"_R.4_BrLeft_2_BrRight_._BrLeft_t_BrRight__Star_._BrLeft_r_BrRight__BrLeft_24_BrRight_.Definition","R.4[2].[t]*.[r][24].Definition Fault common to items ...","5","TRUE"
"_R.4_BrLeft_2_BrRight_._BrLeft_t_BrRight__Star_._BrLeft_r_BrRight__BrLeft_25_BrRight_","R.4[2].[t]*.[r][25]","4","FALSE"
"_R.4_BrLeft_2_BrRight_._BrLeft_t_BrRight__Star_._BrLeft_r_BrRight__BrLeft_25_BrRight_.Term","R.4[2].[t]*.[r][25].Term CONDITIONAL LEVEL TRAN...","5","TRUE"
"_R.4_BrLeft_2_BrRight_._BrLeft_t_BrRight__Star_._BrLeft_r_BrRight__BrLeft_25_BrRight_.Definition","R.4[2].[t]*.[r][25].Definition A Conditional Level Tr...","5","TRUE"
"_R.4_BrLeft_2_BrRight_._BrLeft_t_BrRight__Star_._BrLeft_r_BrRight__BrLeft_26_BrRight_","R.4[2].[t]*.[r][26]","4","FALSE"
"_R.4_BrLeft_2_BrRight_._BrLeft_t_BrRight__Star_._BrLeft_r_BrRight__BrLeft_26_BrRight_.Term","R.4[2].[t]*.[r][26].Term CONDITIONS, MAINTENANCE","5","TRUE"
"_R.4_BrLeft_2_BrRight_._BrLeft_t_BrRight__Star_._BrLeft_r_BrRight__BrLeft_26_BrRight_.Definition","R.4[2].[t]*.[r][26].Definition The maintenance criter...","5","TRUE"
"_R.4_BrLeft_2_BrRight_._BrLeft_t_BrRight__Star_._BrLeft_r_BrRight__BrLeft_27_BrRight_","R.4[2].[t]*.[r][27]","4","FALSE"
"_R.4_BrLeft_2_BrRight_._BrLeft_t_BrRight__Star_._BrLeft_r_BrRight__BrLeft_27_BrRight_.Term","R.4[2].[t]*.[r][27].Term CONDITIONS, OPERATING","5","TRUE"
"_R.4_BrLeft_2_BrRight_._BrLeft_t_BrRight__Star_._BrLeft_r_BrRight__BrLeft_27_BrRight_.Definition","R.4[2].[t]*.[r][27].Definition The rated performance ...","5","TRUE"
"_R.4_BrLeft_2_BrRight_._BrLeft_t_BrRight__Star_._BrLeft_r_BrRight__BrLeft_28_BrRight_","R.4[2].[t]*.[r][28]","4","FALSE"
"_R.4_BrLeft_2_BrRight_._BrLeft_t_BrRight__Star_._BrLeft_r_BrRight__BrLeft_28_BrRight_.Term","R.4[2].[t]*.[r][28].Term CONDITIONS, SYSTEM","5","TRUE"
"_R.4_BrLeft_2_BrRight_._BrLeft_t_BrRight__Star_._BrLeft_r_BrRight__BrLeft_28_BrRight_.Definition","R.4[2].[t]*.[r][28].Definition","5","FALSE"
"_R.4_BrLeft_2_BrRight_._BrLeft_t_BrRight__Star_._BrLeft_r_BrRight__BrLeft_28_BrRight_.Definition._BrLeft_1_BrRight_","R.4[2].[t]*.[r][28].Definition.[1] The conditions under w...","6","FALSE"
"_R.4_BrLeft_2_BrRight_._BrLeft_t_BrRight__Star_._BrLeft_r_BrRight__BrLeft_28_BrRight_.Definition._BrLeft_1_BrRight_._Star__BrLeft_1_BrRight_","R.4[2].[t]*.[r][28].Definition.[1].*[1] environmental conditions;","7","TRUE"
"_R.4_BrLeft_2_BrRight_._BrLeft_t_BrRight__Star_._BrLeft_r_BrRight__BrLeft_28_BrRight_.Definition._BrLeft_1_BrRight_._Star__BrLeft_2_BrRight_","R.4[2].[t]*.[r][28].Definition.[1].*[2] operating conditions;","7","TRUE"
"_R.4_BrLeft_2_BrRight_._BrLeft_t_BrRight__Star_._BrLeft_r_BrRight__BrLeft_28_BrRight_.Definition._BrLeft_1_BrRight_._Star__BrLeft_3_BrRight_","R.4[2].[t]*.[r][28].Definition.[1].*[3] maintenance conditions.","7","TRUE"
"_R.4_BrLeft_2_BrRight_._BrLeft_t_BrRight__Star_._BrLeft_r_BrRight__BrLeft_29_BrRight_","R.4[2].[t]*.[r][29]","4","FALSE"
"_R.4_BrLeft_2_BrRight_._BrLeft_t_BrRight__Star_._BrLeft_r_BrRight__BrLeft_29_BrRight_.Term","R.4[2].[t]*.[r][29].Term CONFIGURATION","5","TRUE"
"_R.4_BrLeft_2_BrRight_._BrLeft_t_BrRight__Star_._BrLeft_r_BrRight__BrLeft_29_BrRight_.Definition","R.4[2].[t]*.[r][29].Definition The structuring and in...","5","TRUE"
"_R.4_BrLeft_2_BrRight_._BrLeft_t_BrRight__Star_._BrLeft_r_BrRight__BrLeft_30_BrRight_","R.4[2].[t]*.[r][30]","4","FALSE"
"_R.4_BrLeft_2_BrRight_._BrLeft_t_BrRight__Star_._BrLeft_r_BrRight__BrLeft_30_BrRight_.Term","R.4[2].[t]*.[r][30].Term CONFIGURATION MANAGEMENT","5","TRUE"
"_R.4_BrLeft_2_BrRight_._BrLeft_t_BrRight__Star_._BrLeft_r_BrRight__BrLeft_30_BrRight_.Definition","R.4[2].[t]*.[r][30].Definition A discipline applying ...","5","TRUE"
"_R.4_BrLeft_2_BrRight_._BrLeft_t_BrRight__Star_._BrLeft_r_BrRight__BrLeft_31_BrRight_","R.4[2].[t]*.[r][31]","4","FALSE"
"_R.4_BrLeft_2_BrRight_._BrLeft_t_BrRight__Star_._BrLeft_r_BrRight__BrLeft_31_BrRight_.Term","R.4[2].[t]*.[r][31].Term CONFLICTING MOVEMENTS","5","TRUE"
"_R.4_BrLeft_2_BrRight_._BrLeft_t_BrRight__Star_._BrLeft_r_BrRight__BrLeft_31_BrRight_.Definition","R.4[2].[t]*.[r][31].Definition Movements that would r...","5","TRUE"
"_R.4_BrLeft_2_BrRight_._BrLeft_t_BrRight__Star_._BrLeft_r_BrRight__BrLeft_32_BrRight_","R.4[2].[t]*.[r][32]","4","FALSE"
"_R.4_BrLeft_2_BrRight_._BrLeft_t_BrRight__Star_._BrLeft_r_BrRight__BrLeft_32_BrRight_.Term","R.4[2].[t]*.[r][32].Term CONTACT LENGTH","5","TRUE"
"_R.4_BrLeft_2_BrRight_._BrLeft_t_BrRight__Star_._BrLeft_r_BrRight__BrLeft_32_BrRight_.Definition","R.4[2].[t]*.[r][32].Definition The distance between t...","5","TRUE"
"_R.4_BrLeft_2_BrRight_._BrLeft_t_BrRight__Star_._BrLeft_r_BrRight__BrLeft_33_BrRight_","R.4[2].[t]*.[r][33]","4","FALSE"
"_R.4_BrLeft_2_BrRight_._BrLeft_t_BrRight__Star_._BrLeft_r_BrRight__BrLeft_33_BrRight_.Term","R.4[2].[t]*.[r][33].Term CONTINOUS DATA TRANSMI...","5","TRUE"
"_R.4_BrLeft_2_BrRight_._BrLeft_t_BrRight__Star_._BrLeft_r_BrRight__BrLeft_33_BrRight_.Definition","R.4[2].[t]*.[r][33].Definition Track-to-train or trai...","5","TRUE"
"_R.4_BrLeft_2_BrRight_._BrLeft_t_BrRight__Star_._BrLeft_r_BrRight__BrLeft_34_BrRight_","R.4[2].[t]*.[r][34]","4","FALSE"
"_R.4_BrLeft_2_BrRight_._BrLeft_t_BrRight__Star_._BrLeft_r_BrRight__BrLeft_34_BrRight_.Term","R.4[2].[t]*.[r][34].Term CONTROL CENTRE","5","TRUE"
"_R.4_BrLeft_2_BrRight_._BrLeft_t_BrRight__Star_._BrLeft_r_BrRight__BrLeft_34_BrRight_.Definition","R.4[2].[t]*.[r][34].Definition A centralised control ...","5","TRUE"
"_R.4_BrLeft_2_BrRight_._BrLeft_t_BrRight__Star_._BrLeft_r_BrRight__BrLeft_35_BrRight_","R.4[2].[t]*.[r][35]","4","FALSE"
"_R.4_BrLeft_2_BrRight_._BrLeft_t_BrRight__Star_._BrLeft_r_BrRight__BrLeft_35_BrRight_.Term","R.4[2].[t]*.[r][35].Term CRITICALITY","5","TRUE"
"_R.4_BrLeft_2_BrRight_._BrLeft_t_BrRight__Star_._BrLeft_r_BrRight__BrLeft_35_BrRight_.Definition","R.4[2].[t]*.[r][35].Definition The point at which a f...","5","TRUE"
"_R.4_BrLeft_2_BrRight_._BrLeft_t_BrRight__Star_._BrLeft_r_BrRight__BrLeft_36_BrRight_","R.4[2].[t]*.[r][36]","4","FALSE"
"_R.4_BrLeft_2_BrRight_._BrLeft_t_BrRight__Star_._BrLeft_r_BrRight__BrLeft_36_BrRight_.Term","R.4[2].[t]*.[r][36].Term CROSS-ACCEPTANCE","5","TRUE"
"_R.4_BrLeft_2_BrRight_._BrLeft_t_BrRight__Star_._BrLeft_r_BrRight__BrLeft_36_BrRight_.Definition","R.4[2].[t]*.[r][36].Definition The status achieved by...","5","TRUE"
"_R.4_BrLeft_2_BrRight_._BrLeft_t_BrRight__Star_._BrLeft_r_BrRight__BrLeft_37_BrRight_","R.4[2].[t]*.[r][37]","4","FALSE"
"_R.4_BrLeft_2_BrRight_._BrLeft_t_BrRight__Star_._BrLeft_r_BrRight__BrLeft_37_BrRight_.Term","R.4[2].[t]*.[r][37].Term CURRENT POSITION","5","TRUE"
"_R.4_BrLeft_2_BrRight_._BrLeft_t_BrRight__Star_._BrLeft_r_BrRight__BrLeft_37_BrRight_.Definition","R.4[2].[t]*.[r][37].Definition The position of a trai...","5","TRUE"
"_R.4_BrLeft_2_BrRight_._BrLeft_t_BrRight__Star_._BrLeft_r_BrRight__BrLeft_38_BrRight_","R.4[2].[t]*.[r][38]","4","FALSE"
"_R.4_BrLeft_2_BrRight_._BrLeft_t_BrRight__Star_._BrLeft_r_BrRight__BrLeft_38_BrRight_.Term","R.4[2].[t]*.[r][38].Term DANGER (ASPECT)","5","TRUE"
"_R.4_BrLeft_2_BrRight_._BrLeft_t_BrRight__Star_._BrLeft_r_BrRight__BrLeft_38_BrRight_.Definition","R.4[2].[t]*.[r][38].Definition An indication given by...","5","TRUE"
"_R.4_BrLeft_2_BrRight_._BrLeft_t_BrRight__Star_._BrLeft_r_BrRight__BrLeft_39_BrRight_","R.4[2].[t]*.[r][39]","4","FALSE"
"_R.4_BrLeft_2_BrRight_._BrLeft_t_BrRight__Star_._BrLeft_r_BrRight__BrLeft_39_BrRight_.Term","R.4[2].[t]*.[r][39].Term DANGER POINT","5","TRUE"
"_R.4_BrLeft_2_BrRight_._BrLeft_t_BrRight__Star_._BrLeft_r_BrRight__BrLeft_39_BrRight_.Definition","R.4[2].[t]*.[r][39].Definition The location beyond th...","5","TRUE"
"_R.4_BrLeft_2_BrRight_._BrLeft_t_BrRight__Star_._BrLeft_r_BrRight__BrLeft_40_BrRight_","R.4[2].[t]*.[r][40]","4","FALSE"
"_R.4_BrLeft_2_BrRight_._BrLeft_t_BrRight__Star_._BrLeft_r_BrRight__BrLeft_40_BrRight_.Term","R.4[2].[t]*.[r][40].Term DECELERATION DATA","5","TRUE"
"_R.4_BrLeft_2_BrRight_._BrLeft_t_BrRight__Star_._BrLeft_r_BrRight__BrLeft_40_BrRight_.Definition","R.4[2].[t]*.[r][40].Definition Data that relates to t...","5","TRUE"
"_R.4_BrLeft_2_BrRight_._BrLeft_t_BrRight__Star_._BrLeft_r_BrRight__BrLeft_41_BrRight_","R.4[2].[t]*.[r][41]","4","FALSE"
"_R.4_BrLeft_2_BrRight_._BrLeft_t_BrRight__Star_._BrLeft_r_BrRight__BrLeft_41_BrRight_.Term","R.4[2].[t]*.[r][41].Term DEFAULT VALUE","5","TRUE"
"_R.4_BrLeft_2_BrRight_._BrLeft_t_BrRight__Star_._BrLeft_r_BrRight__BrLeft_41_BrRight_.Definition","R.4[2].[t]*.[r][41].Definition Value stored in the ER...","5","TRUE"
"_R.4_BrLeft_2_BrRight_._BrLeft_t_BrRight__Star_._BrLeft_r_BrRight__BrLeft_42_BrRight_","R.4[2].[t]*.[r][42]","4","FALSE"
